neg,neu,pos,compound,date
0.194,0.666,0.139,-0.9922,2020-03-05T20:23:03+0000
0.127,0.743,0.131,-0.629,2020-03-05T21:07:13+0000
0.04,0.812,0.148,0.999,2020-03-05T21:12:15+0000
0.189,0.743,0.068,-0.9973,2020-03-05T22:37:30+0000
0.142,0.717,0.141,-0.9181,2020-03-06T00:30:44+0000
0.114,0.73,0.156,0.9895,2020-03-06T00:35:24+0000
0.154,0.745,0.101,-0.9948,2020-03-06T04:46:05+0000
0.089,0.806,0.105,0.9784,2020-03-06T05:02:44+0000
0.088,0.766,0.146,0.9517,2020-03-06T09:00:02+0000
0.133,0.735,0.131,-0.7564,2020-03-06T10:00:13+0000
0.091,0.725,0.184,0.9974,2020-03-06T10:00:20+0000
0.113,0.78,0.106,-0.869,2020-03-06T10:00:22+0000
0.07,0.85,0.08,0.7695,2020-03-06T12:58:21+0000
0.118,0.758,0.124,-0.8484,2020-03-06T13:16:49+0000
0.09,0.798,0.112,0.8709,2020-03-06T14:00:05+0000
0.068,0.752,0.181,0.9976,2020-03-06T14:16:27+0000
0.042,0.844,0.114,0.9878,2020-03-06T14:37:50+0000
0.073,0.803,0.124,0.9852,2020-03-06T17:12:52+0000
0.06,0.675,0.265,0.991,2020-03-06T19:00:06+0000
0.156,0.689,0.156,-0.4306,2020-03-06T19:02:31+0000
0.131,0.78,0.089,-0.9915,2020-03-06T19:23:09+0000
0.182,0.668,0.15,-0.9541,2020-03-06T19:33:51+0000
0.184,0.716,0.1,-0.9922,2020-03-06T20:13:02+0000
0.145,0.73,0.125,-0.9415,2020-03-06T23:30:42+0000
0.087,0.793,0.12,0.963,2020-03-07T00:19:35+0000
0.065,0.853,0.082,0.928,2020-03-07T00:23:50+0000
0.094,0.786,0.12,0.8271,2020-03-07T01:41:17+0000
0.114,0.782,0.104,-0.988,2020-03-07T05:14:47+0000
0.133,0.763,0.104,-0.9813,2020-03-07T16:22:01+0000
0.111,0.781,0.108,-0.5195,2020-03-07T16:49:09+0000
