neg,neu,pos,compound,date
0.049,0.808,0.143,0.9809,2020-03-18T09:00:15+0000
0.053,0.727,0.22,0.9986,2020-03-18T09:00:20+0000
0.168,0.677,0.155,-0.9683,2020-03-18T09:00:24+0000
0.126,0.793,0.081,-0.9881,2020-03-18T09:00:33+0000
0.133,0.722,0.145,0.4927,2020-03-18T09:59:02+0000
0.042,0.889,0.069,0.6908,2020-03-18T10:00:07+0000
0.092,0.812,0.096,0.3612,2020-03-18T10:26:35+0000
0.099,0.777,0.125,0.9615,2020-03-18T10:56:13+0000
0.064,0.826,0.109,0.9953,2020-03-18T11:29:50+0000
0.131,0.667,0.201,0.9941,2020-03-18T14:00:06+0000
0.107,0.663,0.23,0.9287,2020-03-18T14:44:34+0000
0.163,0.708,0.129,-0.9842,2020-03-18T15:14:15+0000
0.043,0.837,0.12,0.9987,2020-03-18T15:32:10+0000
0.094,0.742,0.164,0.9989,2020-03-18T16:09:11+0000
0.116,0.803,0.081,-0.9828,2020-03-18T16:41:20+0000
